symbol,strategy_tag,entry_date,entry_price,exit_date,exit_price,return,reason,hold_days,max_dd,entry_rsi,sl_price,exit_open,turnover_krw_entry,turnover_krw_exit
BMT_KRW,A,2025-04-27 15:00:00,182.182,2025-04-28 15:00:00,167.832,-0.07876738645969412,SL,1,-0.11626834703757775,72.0930232479899,182.182,168.0,29585252305.63769,6129194769.902099
SAFE_KRW,A,2025-04-29 15:00:00,818.8179999999999,2025-04-30 15:00:00,729.804,-0.10871036054410127,SL,1,-0.1377815338695533,78.55072463449359,818.8179999999999,732.0,11276719936.559258,462151038.6679255
KAITO_KRW,A,2025-05-07 15:00:00,1790.7889999999998,2025-05-09 15:00:00,1947.051,0.04312937230460995,Trail,2,0.0,68.80466472232999,1790.7889999999998,1950.0,49922302961.8131,24609580792.489506
POLA_KRW,A,2025-05-09 15:00:00,25.565539999999995,2025-05-10 15:00:00,23.88214,-0.0658464479921017,SL,1,-0.09956918570857475,71.55824500742698,25.565539999999995,23.93,16605761179.437044,1820977720.6961553
ETHFI_KRW,A,2025-05-09 15:00:00,977.9769999999999,2025-05-11 15:00:00,1507.491,0.2702190455399259,Trail,2,0.0,57.63293310324724,977.9769999999999,1510.0,9174943307.104792,7608689474.860665
RPL_KRW,A,2025-05-11 15:00:00,8273.265,2025-05-12 15:00:00,8256.71847,-0.001999999999999954,SL,1,-0.03423859866691076,71.96702002331978,8273.265,8620.0,15260305344.932037,1138450623.2325392
FIDA_KRW,A,2025-05-12 15:00:00,163.16299999999998,2025-05-13 15:00:00,150.849,-0.07547054172821041,SL,1,-0.1051892892383689,67.46031745282187,163.16299999999998,151.0,55457579325.25909,13460449671.143568
GRASS_KRW,A,2025-05-14 15:00:00,3104.1009999999997,2025-05-15 15:00:00,2768.4519999999998,-0.10813082435139834,SL,1,-0.18140550194726257,75.70040022809616,3104.1009999999997,2774.0,24825158120.76093,1572574026.8839188
BOBA_KRW,A,2025-05-16 15:00:00,148.148,2025-05-17 15:00:00,147.852,-0.001998001998001946,SL,1,-0.021249021249021224,71.8309859013291,148.148,148.0,21429719068.96764,10870413901.892885
HAEDAL_KRW,A,2025-05-21 15:00:00,290.28999999999996,2025-05-22 15:00:00,246.753,-0.1499776085982982,SL,1,-0.22491301801646618,69.52789699153051,290.28999999999996,247.0,46291855444.012215,22452133717.16654
COOKIE_KRW,A,2025-05-21 15:00:00,312.31199999999995,2025-05-23 15:00:00,434.565,0.1952225466840852,Trail,2,0.0,63.568773230892326,312.31199999999995,436.0,13292002248.695263,11457748898.82151
MEW_KRW,A,2025-05-23 15:00:00,6.1921859999999995,2025-05-24 15:00:00,5.596398000000001,-0.09621610203569449,SL,1,-0.1486043862377518,64.99327635367416,6.1921859999999995,5.602,74715620024.02849,11658523278.70582
WCT_KRW,A,2025-05-28 15:00:00,1278.2769999999998,2025-05-30 15:00:00,1276.998723,-0.0009999999999999133,SL,2,-0.3014033734472261,79.26102502847479,1278.2769999999998,1463.0,28738044603.425014,74097156798.74298
A8_KRW,A,2025-05-29 15:00:00,230.22999999999996,2025-05-30 15:00:00,185.442,-0.1945358988837248,SL,1,-0.2572644746557789,58.33333332714647,230.22999999999996,186.0,16646932141.333838,652397724.815176
BMT_KRW,A,2025-05-29 15:00:00,160.15999999999997,2025-05-30 15:00:00,133.732,-0.16500999000998984,SL,1,-0.30069930069930056,68.83116881865408,160.15999999999997,134.0,5557947259.839454,1858707764.2680762
TOKAMAK_KRW,A,2025-06-02 15:00:00,1781.7799999999997,2025-06-03 15:00:00,1645.702,-0.07637194266407736,SL,1,-0.13569576490924792,63.85542168540064,1781.7799999999997,1649.0,25967557262.56803,865461154.9758297
AZIT_KRW,A,2025-06-04 15:00:00,25.96594,2025-06-05 15:00:00,20.49892,-0.21054581501767322,SL,1,-0.2979264374792516,78.43137244649495,25.96594,20.54,31798219276.49893,1763471174.1624508
GRND_KRW,B,2025-06-06 15:00:00,89.40741999999999,2025-06-07 15:00:00,86.01775,-0.03791262514900868,SL,1,-0.049295908549871904,46.43799469844961,89.40741999999999,86.45,780688860.7975256,165288151.57857466
EDU_KRW,B,2025-06-06 15:00:00,213.63899999999998,2025-06-07 15:00:00,204.97,-0.04057779712505668,SL,1,-0.06852213313112299,43.089430889404454,213.63899999999998,206.0,571883877.741848,52168650.98480484
REQ_KRW,B,2025-06-08 15:00:00,204.015,2025-06-09 15:00:00,199.995,-0.01970443349753686,SL,1,-0.014778325123152643,53.061224474635566,204.015,201.0,34917676.920238495,28068649.266688127
BCH_KRW,B,2025-06-08 15:00:00,578154.0,2025-06-09 15:00:00,573925.5,-0.007313795286376986,SL,1,-0.008914579852426862,49.80988593155363,578154.0,574500.0,1257171745.041915,2082178684.7084002
UNI_KRW,A,2025-06-10 15:00:00,11171.159999999998,2025-06-11 15:00:00,11159.988839999998,-0.0009999999999999887,SL,1,-0.04486194808775437,67.06349206334303,11171.159999999998,11390.0,10957275976.22052,4319710651.912273
AAVE_KRW,A,2025-06-10 15:00:00,422021.6,2025-06-11 15:00:00,421599.5784,-0.0009999999999999484,SL,1,-0.04933775901517832,58.94268774703149,422021.6,432300.0,7434529788.24621,2753649035.758118
KAIA_KRW,A,2025-06-11 15:00:00,235.23499999999999,2025-06-12 15:00:00,234.999765,-0.0009999999999999523,SL,1,-0.1030246349395285,79.52755904635129,235.23499999999999,244.0,54960338317.09712,35013099736.07715
COOKIE_KRW,B,2025-06-11 15:00:00,360.72,2025-06-12 15:00:00,309.38,-0.14232645819472176,SL,1,-0.28199157241073414,49.16201116933929,360.72,310.0,905409488.8696022,1181101942.1249332
ORBS_KRW,A,2025-06-13 15:00:00,33.17314,2025-06-14 15:00:00,30.5887,-0.07790760838437355,SL,1,-0.11132922599428322,77.1805272737802,33.17314,30.65,16684800094.459616,1842961444.7499425
WNCG_KRW,A,2025-06-13 15:00:00,38.088049999999996,2025-06-14 15:00:00,35.954010000000004,-0.056029121994956216,SL,1,-0.1577410762693285,71.83580381951532,38.088049999999996,35.99,54476687043.800415,8351593020.898028
