symbol,strategy_tag,entry_date,entry_price,exit_date,exit_price,return,reason,hold_days,max_dd,entry_rsi,sl_price,exit_open,turnover_krw_entry,turnover_krw_exit
TRX_KRW,B,2025-06-06 15:00:00,388.388,2025-06-07 15:00:00,386.613,-0.0045701720959452335,SL,1,-0.006148490684573099,70.27027024368152,388.388,387.0,8309511481.735327,2989866421.808773
RVN_KRW,B,2025-06-06 15:00:00,20.28026,2025-06-07 15:00:00,18.70128,-0.07785797617979247,SL,1,-0.0784141820666992,60.62452392621911,20.28026,18.72,18268118314.938843,11277261687.747154
BCH_KRW,B,2025-06-08 15:00:00,578154.0,2025-06-09 15:00:00,573925.5,-0.007313795286376986,SL,1,-0.008914579852426862,49.80988593155363,578154.0,574500.0,1257171745.041915,2082178684.7084002
UMA_KRW,B,2025-06-08 15:00:00,1829.652,2025-06-10 15:00:00,2066.858,0.06432270945513142,Trail,2,0.0,58.58333333264986,1829.652,2071.0,1606212093.6866438,1546976298.0048463
GRND_KRW,B,2025-06-09 15:00:00,93.75365999999998,2025-06-10 15:00:00,93.56615267999999,-0.001999999999999943,SL,1,-0.014331813819321677,57.00773858417571,93.75365999999998,94.06,4568339190.143704,1478199548.965193
ETHFI_KRW,B,2025-06-10 15:00:00,1835.8339999999998,2025-06-11 15:00:00,1833.9981659999999,-0.0009999999999999877,SL,1,-0.1023153509522102,44.64594127752587,1835.8339999999998,1893.0,6385534096.191528,4691746183.742491
NEIRO_KRW,B,2025-06-10 15:00:00,0.6939932999999999,2025-06-11 15:00:00,0.6932993067,-0.0009999999999999614,SL,1,-0.08731107346425386,45.45672923943701,0.6939932999999999,0.7272,5686986853.290397,4805522327.826942
VIRTUAL_KRW,B,2025-06-11 15:00:00,3068.0649999999996,2025-06-12 15:00:00,2877.12,-0.06223629551525138,SL,1,-0.22557051431439676,45.13742071848207,3068.0649999999996,2880.0,20924135453.94731,30868065886.60166
AAVE_KRW,B,2025-06-11 15:00:00,432732.29999999993,2025-06-12 15:00:00,410589.0,-0.05117089711121618,SL,1,-0.15606022476251472,65.58868115209236,432732.29999999993,411000.0,4816820934.43462,8001705500.816297
WNCG_KRW,B,2025-06-13 15:00:00,38.088049999999996,2025-06-14 15:00:00,35.954010000000004,-0.056029121994956216,SL,1,-0.1577410762693285,71.83580381951532,38.088049999999996,35.99,54476687043.800415,8351593020.898028
