symbol,strategy_tag,entry_date,entry_price,exit_date,exit_price,return,reason,hold_days,max_dd,entry_rsi,sl_price,exit_open,turnover_krw_entry,turnover_krw_exit
EDU_KRW,B,2025-06-06 15:00:00,213.63899999999998,2025-06-07 15:00:00,204.97,-0.04057779712505668,SL,1,-0.06852213313112299,43.089430889404454,213.63899999999998,206.0,571883877.741848,52168650.98480484
RVN_KRW,B,2025-06-06 15:00:00,20.28026,2025-06-07 15:00:00,18.70128,-0.07785797617979247,SL,1,-0.0784141820666992,60.62452392621911,20.28026,18.72,18268118314.938843,11277261687.747154
BCH_KRW,B,2025-06-08 15:00:00,578154.0,2025-06-09 15:00:00,573925.5,-0.007313795286376986,SL,1,-0.008914579852426862,49.80988593155363,578154.0,574500.0,1257171745.041915,2082178684.7084002
COOKIE_KRW,B,2025-06-10 15:00:00,357.714,2025-06-11 15:00:00,356.640858,-0.0030000000000000517,SL,1,-0.14456800684345594,43.434343431272325,357.714,360.0,1729081549.707396,622026519.6430682
NEIRO_KRW,B,2025-06-10 15:00:00,0.6939932999999999,2025-06-11 15:00:00,0.6932993067,-0.0009999999999999614,SL,1,-0.08731107346425386,45.45672923943701,0.6939932999999999,0.7272,5686986853.290397,4805522327.826942
VIRTUAL_KRW,B,2025-06-11 15:00:00,3068.0649999999996,2025-06-12 15:00:00,2877.12,-0.06223629551525138,SL,1,-0.22557051431439676,45.13742071848207,3068.0649999999996,2880.0,20924135453.94731,30868065886.60166
GOAT_KRW,B,2025-06-11 15:00:00,190.18999999999997,2025-06-12 15:00:00,164.835,-0.13331405436668575,SL,1,-0.2849256007150743,40.90909090388429,190.18999999999997,165.0,4230973099.4936595,5490521675.754077
WNCG_KRW,B,2025-06-13 15:00:00,38.088049999999996,2025-06-14 15:00:00,35.954010000000004,-0.056029121994956216,SL,1,-0.1577410762693285,71.83580381951532,38.088049999999996,35.99,54476687043.800415,8351593020.898028
BOBA_KRW,B,2025-06-15 15:00:00,129.258,2025-06-16 15:00:00,128.999484,-0.002000000000000111,SL,1,-0.0638877284191308,45.45454544008265,129.258,130.0,1075264532.001442,900126694.3798347
SNT_KRW,B,2025-06-15 15:00:00,46.26622,2025-06-17 15:00:00,60.929010000000005,0.15796107592105005,Trail,2,0.0,51.54013012053962,46.26622,60.99,19905910315.131783,22558446999.545315
LWA_KRW,B,2025-06-24 15:00:00,29.237449999999995,2025-06-25 15:00:00,28.7136,-0.017917089212636395,SL,1,-0.07413266204816069,47.242206182143,29.237449999999995,28.8,430958938.25680375,265056073.5980965
LPT_KRW,B,2025-06-29 15:00:00,8983.974999999999,2025-06-30 15:00:00,8587.79,-0.04409907641105387,SL,1,-0.09561190898238238,45.774647887211124,8983.974999999999,8605.0,11887179260.94043,1516159697.1056635
LWA_KRW,B,2025-07-09 15:00:00,27.104100000000003,2025-07-10 15:00:00,27.076995900000004,-0.0009999999999999616,SL,1,-0.07357189502695174,39.410480289110616,27.104100000000003,27.59,892799829.2182741,2725291097.3539863
AERO_KRW,B,2025-07-11 15:00:00,1115.3359999999998,2025-07-12 15:00:00,1020.87,-0.0846973468084952,SL,1,-0.08816715321660899,54.29071803719778,1115.3359999999998,1026.0,297813652.3859784,159376596.2911442
T_KRW,B,2025-07-13 15:00:00,23.61714,2025-07-14 15:00:00,23.509259999999998,-0.004567868929091394,SL,1,-0.04730208653545684,46.045694087058045,23.61714,23.58,1040447962.9764178,351425646.1596469
